"complaint-layer","js-tooltip","js-view-count","complaint-description","ellipsis-text","sv-model-button"
"Türk Telekom Müşteri Hizmetleri Temsilcisine Bağlanamıyorsunuz.","02 Ağustos 16:33","274","Hayatımda gördüğüm en saçma müşteri destek hattı. Hiçbir şekilde hiçbir menüde müşteri temsilcisine bağlanamıyorsunuz. Öyle bir seçenek yok. Her kombinasyonu denedim müşteri temsilcisine bağlanamıyorum. Saçma sapan bilgiler veriyor. İ. Teknik destek için bağlanayım dedim onu da veremiyor.","","#Kamu Tarifeleri"
"Türk Telekom Müşteri Hizmetlerinde İnsan Kalmamış Aradım Bulamadım","02 Ağustos 16:33","40","Türk Telekom faturayı gönderiyor. Neden bu kadar fatura gönderdiniz sorusuna cevap vermemek için iletişime geçmemize imkan vermiyor. 170 TL yerine 370 TL gelen faturanın ödemesini yaptıktan sonra mı konuşmaya başlayacak müşteri hizmetleri? O iki yüz tl fark helal olmasın kurumsal firmanıza. Taahhüt","...","#Fatura ödeme"
"Türk Telekom Ping Sorunu Yaşıyorum.","02 Ağustos 16:32","132","İnternet sorunu Türk Telekom'un internetini kullanıyorum 1 haftadır ping sorunu yasıyorum. 15 pingden 100 ve 1000 arası değer alıyorum. İnternete benden başka bağlanan da yok. Bir çok ayarda denedim pingim düşmedi. Sorunun en kısa sürede çözülmesini istiyorum.","","#İnternet"
"Türk Telekom Personel İlgisizliği Ve İş Bilmezliği","02 Ağustos 16:22","433","50 dakikadır magnet başvurusu için bekliyoruz. 2 personel var; bir bayan hem başvuru alıyor hem ödeme alıyor. Yanındaki beyefendi 'Ben çıkacağım, işlem almıyorum' diyerek 45 dakika boşta duruyor. Böyle bir mağduriyet yaşatmaya kimsenin hakkı yok. Üstüne gidince de 'Ben bilmiyorum' diyor. Bilmeyen ad","...","#Magnet"
"Türk Telekom / Gelmeyen Saha Ekipleri","02 Ağustos 16:20","278","23 Temmuz 2024 tarihinde Gıbır.net adında internet firmasına başvurdum. Hemen ilgilendiler. Geçiş işlemlerim 24 saat içerisinde tamamlandı. Fakat ben adres değişikliği yaptığımdan dolayı interneti kullanamıyordum. Eski evimde yeni firma interneti aktifleştirmiş. Fakat ben nakil yaptırdım. Nakil işle","...","#İnternet"
"Türk Telekom'dan İnternet Bağlattık Ama İnternet 1 Aydır Yok","02 Ağustos 16:20","304","1 ay önce Türk Telekom'dan eve internet ve Tivibu bağlattık ve 1 aydır evde internet Yok, Tivibu da yok. Sürekli arıyorum arıza kaydı bırakıyorum, çözülecek deniyor ama hala sorunum Çözülmedi. Olmayan internetin parasını ödüyorum. Helal etmiyorum Yazıklar olsun","","#İnternet"
"Türk Telekom Mağduriyeti Ve Çalışanlarının Yanıltmacası","02 Ağustos 16:20","136","Eskişehir akarbaşı Mahallesi'nde var olan dükkanım için bana Türk Telekom'dan geldiler internet ve 4 adet hat verelim şirket hattı olarak diyerek benimle anlaşma yaptılar cihaz için 2500 TL ödeme yapmam gerektiğini söylediler. Ben bu şekilde kimlik bilgilerimi ve vergi levhamı kendilerine ilettim da","...","#İnternet"
"Türk Telekom Haksız Yurt Dışı Kullanım Faturası Kesilmesi","02 Ağustos 16:19","317","01.08.2024 tarihinde kaş-kaputaş arası seyahat ederken hattıma 199₺ yurt dışı kullanım bedeli şeklinde bir fatura gönderildi. Hiçbir şekilde data, SMS, MMS veya konuşma söz konusu değil. Sadece 1 saniye hat karşı taraftan sinyal aldı diye bu faturanın tarafıma kesilmesini haksız buluyorum. Müşteri h","...","#Fatura ödeme"
"Türk Telekom'da Fatura Şoku Ve Yanlış Paket Tanımlaması","02 Ağustos 15:56","319","Türk Telekom'a numaramı taşıdım ve bana 330 TL'lik bir paket sundular. Taşıdıktan 1 ay sonra faturam geldiğinde 888 lira idi ve sonraki ay da 1323 lira idi. Aradığımda taahhüdümün olmadığını söylediler, halbuki hattımı taşırken taahhüt yapmıştım ve incelemeye aldılar. Haklı olduğum görüldü ve yanlış","...","#Fatura ödeme"
"Türk Telekom 1 Aydır Nakil Ettiğim İnterneti Kurmuyor.","02 Ağustos 15:56","482","Türk Telekom evde internet hizmetini tayin sebebi ile Başka bir yere nakil ettirdim. Nakil işlemini 1 Temmuz 2024 itibari ile yaptırdım. Nakil olan yere elektrikçi çağırın kablo çektirin dediler yaptım. Bu modem olmaz değiştirin dediler yeni modem aldım. İnterneti bağlasınlar diye defalarca kez aray","...","#İnternet"
"Türk Telekom İnternet Arızasını Abarttı.","02 Ağustos 15:55","234","Akşemsettin mah. Yaran sokak Fatih/İstanbul da 27 Temmuz 2024 tarihinde bu yana yaklaşık 1 haftadır Türk Telekom kaynaklı internet bağlantısı alamıyoruz. Bu kadar uzun süre İstanbul un tam göbeğinde bir semtte 1 hafta internet hizmetinin olmaması ne demek aradığım da genel bir problem var bakılıyor","...","#İnternet"
"Türk Telekom İnternet Nakil Sorunu","02 Ağustos 15:51","292","Ben nakil yaptırmak istedim. Müşteri temsilcisini aradım, 4 gün önce işlemi başlattılar. Ertesi günü randevu oluşturdular fakat gelmediler. 3 gündür yeni randevu oluşturuyorlar fakat 3 gündür gelmiyorlar. Müşteri hizmetlerini arıyorum, her aradığımda yeni randevu oluşturuyorlar. Bugün de gelmezlerse","...","#İnternet"
"","02 Ağustos 15:50","47","","",""
"Türk Telekom Borç Ödeme İşleminde Müsaade Etmemesi","02 Ağustos 15:49","67","Türk Telekom'dan 2 sene önce hat almışım ve borcu nedeniyle farklı operatörden hat alamıyorum. Türk Telekom genel müdürlüğüne kadar gittim, borç yok diyorlar ama sistemlerinde borç çıkıyor. Ödeme yapılmıyor. Kendi web sitelerinde dahi borç var. Ödeme adımında borç yok yazmakta. Acil, çok acil dönüş","...","#Mobil Ödeme"
"Türk Telekom Faturasız Hatta Geçiş","02 Ağustos 15:40","180","Türk Telekom müşterileri hizmetlerine bağlanılmıyor. Faturasız hatta geçiş yapacağım ama menüde seçenek yok müşteri temsilcisine bağlanamıyorum. Nasıl bir yol izlemem gerekiyor. Acaba sizin gibi harika müşteri hizmetleri temsilcileri ile görüşebilmek için?","",""
"TTNET Türk Telekom Altyapı Yok Yalanı","02 Ağustos 15:31","516","Sizden daha önce ev interneti kullanmamıza rağmen adresinizde altyapı yoktur deniyor ve internet bağlatamıyoruz... Oysa ki var. Üst katım VDSL TTNET kullanıyor. Alt kat olarak biz şu an başka firmadan internet kullanıyoruz... Yıllar önce de TTNET kullandık... Neden sisteminizdeki bu sorunu çözmüyors","...","#İnternet"
"Türk Telekom İnternet Kesintisi Sorunu","02 Ağustos 15:30","521","Adıyaman merkez Bahçelievler Mahallesi 934. Sokaktaki Türk Telekom evde internetimiz sokaktaki bir binanın kontrollü bir şekilde yıkılmasından dolayı 22 Temmuz gününden beri kesilmiş durumda. Türk Telekom müşteri hizmetlerini aradığımız takdirde bize 26 eylülde internetimizin geleceği belirtilmekte.","...","#İnternet"
"Türk Telekom Yüksek Fatura Sorunu","02 Ağustos 15:30","681","Geçtiğimiz aylarda Türk Telekom'un saha personeli tarafından Vodafone olan hattımı Türk Telekom'a taşıdım. Saha personeli tarafından verilen bilgi 20 GB 1000 dakika olan tarifeli paket 12 ay boyunca 200 TL olarak aşmayan paket şeklinde faturama yansıyacak. 2 aydır ise faturam 200 TL üzerinde geliyor","...","#Faturalı Paketler"
"Türk Telekom İnternet Gitti Mi Gelmiyor","02 Ağustos 15:28","168","İstanbul Fatih Akşemsettin'de oturuyorum. Milletin kaç gündür interneti yok. Neymiş, bu saatte gelecek, yarın gelecek, şu yok, bu yok. E hani internet nerede? Böyle saçma altyapıya sahip bir kurum daha görmedim. Ne bir çözüm var, ne bir ilgi. Bir tek ev interneti olsa sorun, şirketler ne yapacak? İş","...","#İnternet"
"Türk Telekom Yanıltıcı Telefon Aramaları İle Sözleşme İhlali!","02 Ağustos 15:28","17","Beni de bugün aradılar. Türk Telekom diye evde sabit internet paketi için bugün son günü dediler. Daha önce Türk Telekom'u aramıştım ve 2026'ya kadar","...","#İnternet"
"Türk Telekom Hesap Kesim Tarihi Saçmalığı","02 Ağustos 15:27","136","Türk Telekom Mobil hattımın hesap kesim tarihini değiştirmek için müşteri hizmetlerini aradığımda bana sistem tarafından belirlendiğini değiştirme yapamadıklarını söylediler. Benim maaşım ayın 1 inde yatıyor. Hattımın hesap kesim tarihi ayın 9u bu yüzden her ay son ödeme tarihini aşıyorum ve hattım","...",""
"Türk Telekom İnternet Hizmeti Ve Müşteri Desteği Sorunu","02 Ağustos 15:27","393","Türk Telekom internet hizmeti çekmiyor, ne müşteri hizmetleri ne de şube yardımcı oluyor. En yüksek paketi alıyorum, modem sıkıntılı olduğu için hiçbir yerde çekmiyor. Defalarca müşteri hizmetlerini aradım, bir kere bile arıza kaydı açmadılar. Şubeye yönlendiriyorlar, şube de geri müşteri hizmetleri","...","#Modem"
"TTNET Bağlantı Yok","02 Ağustos 15:17","310","7044130619 abone numaralı TTNET internet bağlantım 5 gündür kesik. 26 Temmuz'da hız düşüklüğü ile alakalı arıza kaydı oluşturmuştum. Sonrasında bağlantım komple gitti, ilgilenen yok, geri dönüş yapan yok, teknik ekip göndermiyorlar. En kısa sürede çözüm bekliyorum.","","#İnternet"
"TTNET'İn Haksız Nakil Ücret Talebi","02 Ağustos 15:17","348","Türk Telekom evde internet hizmeti alıyorum. Uzun yıllardır kullanıcıyım. Son zamanlarda yeni bir ücret adı altında hak yemeye başladılar. Taşınma sebebiyle internetimin nakil olmasını talep ettim fakat 530 TL nakil ücreti ve 200 TL kurulum ücreti istemeye başladılar. Neye dayanarak böyle bir ücret","...","#İnternet"
"Türk Telekom İnternet Hizmeti Ve Müşteri Hizmetleri.","02 Ağustos 15:09","158","Yeni taşındığım dairem için internet hizmeti bağlatmak istiyorum. Eski kullanmış olduğun TurkNet hizmetini taşıma işlemimi binada internet yayınını olmadığı için taşıyamadım. Türk Telekom altyapısı kullanıldığı için yardımcı olamıyorlar. Fakat Türk Telekom kendi servisini bağlayabiliyor. Müşteri hiz","...","#İnternet"
"Türk Telekom Bağlantı Sorunu Ve Modemin Aşırı Isınması","02 Ağustos 15:08","26","Türk Telekom Wi-Fi bağlantım kendiliğinden kopuyor. Tekrar bağlanmaya çalıştığımda 'ağa katılamadı' hatası veriyor ve uygun kanal bulmak için modeme reset atın gibi bir uyarı çıkarıyor. Ben her gün 2 kere modeme reset atmak zorunda kalıyorum ve modem aşırı derecede ısınmış oluyor. İnternet bağlatalı","...","#İnternet"
"Türk Telekom Evde İnternet 4 Gündür Yok","02 Ağustos 15:08","222","Türk Telekom evde sabit internet kullanıyorum. 3-4 gündür internet yok. Modemde internet ışığı yanmıyor. Müşteri hizmetlerini aradığımda bölgesel bir kesinti olduğu aktarıldı. Ancak alt sokaktaki komşumuzun interneti var. Sorunun acil çözülmesini istiyorum. Herkesin işi gücü oluyor internette. Hem p","...","#İnternet"
"Türk Telekom İnternet Şikayet Bildir","02 Ağustos 15:07","132","","","#İnternet"
"Türk Telekom Mobil Fatura Ücreti","02 Ağustos 15:05","250","Merhabalar, Türk Telekom mobil hattımla ilgili şikayetim var. Taahhüdüm gereği 265₺ olan faturam bu ay 687₺ olarak yansıtılmıştır. Fatura detayında anlamlandıramadığım kesintiler bulunmaktadır. Müşteri temsilcisine ulaşmak için günlerdir uğraşıyorum. Bugün ulaşabildim, ancak adının U*** olduğunu bel","...","#Faturalı Paketler"
"Türk Telekom İnternet Hızının Yavaş Olması","02 Ağustos 15:05","282","Türk Telekom İnternet hızı çok yavaş. Kızımın ders çalışması gerekiyor ama İnternet hızı o kadar yavaş ki, izlemesi gereken videoları izlemekte zorlanıyor. Vermiş olduğumuz paranın karşılığını alamıyoruz. Modem değiştirildi ama çözüm olmadı. Sürekli aynı sorunu yaşıyoruz. Çözüm bulunması gerekiyor a","...","#İnternet"
"Türk Telekom Aşırı Derecede Fiyat Artışı","02 Ağustos 14:57","406","Yaklaşık 20 yıldır Türk Telekom internetini kullanıyorum. Ödediğim tutar 150 lira. Taahhüdüm bittiği için aradılar aynı paketi 485 Tl den kullandırmak istediler. Yüzde 300 u geçkin bir artış var kabul edemeyeceğimi emekli olduğumu söyledim. Fakat hiç yardımcı olmuyorlar. Bunca yildir firmanın müşter","...","#Bana Özel Paketler"
"Türk Telekom Sil Süpür Yapamıyorum","02 Ağustos 14:55","402","2013 ten beri müşterinizim. Faturalarımı hep düzenli ödüyorum. Ancak artık bazı şeylerden çok rahatsızım ve başka operatöre geçmeyi bile düşünüyorum. Yeni seçeceğim tarifelere bakıyorum, aşırı pahalı geliyor. En uygunu seçsem bile 120 liradan 255 liraya çıkacak faturam. Ve beni en çok rahatsız eden","...","#Sil Süpür"
"Türk Telekom Cayma Bedeli Alınamaz...","02 Ağustos 14:55","544","Türk Telekom'a 10 Temmuz sabahı hattımı taşıdım fakat taahhüt edilen fatura yüksek rakamdan işleme konulmuş, bunu kabul etti. Zaten bayi ama en önemlisi Türk Telekom çekmiyor bu sebepten ötürü cayma hakkımı kullandım, bu sefer de cayma bedeli yansıyor. Araştırdığımda ilk ve son ay taahhütlü işlemler","...","#Fatura ödeme"
"Türk Telekom İnternetimi Bağlamıyor Oyalıyor","02 Ağustos 14:55","410","Türk Telekom internet başvurusunu 2 yıl önce yaptım bulunduğum bölge müstakil evlerin olduğu yazlık belde. Bizden sonra başvuru yapan insanların bile evine altyapı geldi. İnternetleri bağlandı. Sağımdaki ve solumdaki iki evde de internet bağlandı bize hala altyapı yok deniyor. Altı üstü bir direk il","...","#İnternet"
"Türk Telekom İnternet Hizmeti Veremiyor","02 Ağustos 14:54","74","7030558620 numaralı Türk Telekom evde internet müşterisiyim. 1 aydan uzun süredir internet kullanamıyorum. Ya internet yok ya da oturum açmam gerekiyor diye kullanamıyorum. Kaç defa ekiplere söyledim, kaç defa arıza kaydı oluşturdum, hiçbiri çözemedi. Muhatap bulamıyorum. Gebze'de internet kullanamı","...","#İnternet"
"Türk Telekom İnternet Kurulum Randevusu","02 Ağustos 14:45","172","İnternet başvurusunda bulundum. Randevu için 08:30 - 13:30 aralığını verdi. Hafta içi işimizden izin aldık evde bulunalım dedik. Geniş aralık verdikleri yetmediği gibi gelmediler bile. İzin aldığımızla kaldık. Sonraki randevuda gelseniz ne olur gelmesiniz ne olur. 5 saatlik randevu aralığında bile g","...","#İnternet"
"Türk Telekom Taahhüt Ücreti / Fatura Ücretinin Birbirinden Farklı Ve Fazla Olması","02 Ağustos 14:45","525","Merhabalar; 09.06.2024 tarihi itibarıyla 387 TL'lik, 12 ay yeni bir taahhüde geçiş yapıldı. İçeriği; %20 indirimli Prime Düşün 30 GB tarifesi: 25 GB + 3000 dakika + 250 SMS + 5 GB sosyal medya. Hattıma tanımlı olan bu tarife ücreti, faturaya yansıtıldığı ücret ile hiçbir alakası yok. Haddinden fazla","...","#Fatura ödeme"
"Türk Telekom İnternet Taşıma Rezil Olduk","02 Ağustos 14:44","169","Türk Telekom internet kullanıcısıyım. Evimi taşıdım, taşıdıktan sonra interneti taşımak istedim. Bana boş port yok dediler. Binada, 'Hani sizin yerinizi başkası almış' dediler ancak kontrol ettiğimde binada benim yerime kimse almamıştı. Şu anda binada boş port var ancak bana boş port yok deyip oyalı","...","#İnternet"
"Türk Telekom TTNET Bilgim Olmadan Evde İnternet Taahhüdümü Yenilemiş","02 Ağustos 14:34","34","TTNET, benim iznim olmadan taahhüdümü yenilemişler. TTNET'i arıyorum ama yetkili birine ulaşamıyorum. TTNET'i arıyorum ama sürekli numaralar ve sesli mesajlar arasında dönüp duruyorum. Lütfen yüz yüze görüşeceğim biri olsun, acil dönüş yapılmasını istiyorum.","","#İnternet"
"Türk Telekom Yanlış Üyelik İptali Ve İletişim Sorunları","02 Ağustos 14:27","422","İskenderun ve Silifke'de olmak üzere 2 adet adıma kayıtlı magnet üyeliğim var. 29.07.2024 tarihinde İskenderun adresimdeki magneti kapattırmak için İskenderun Türk Telekom Müdürlüğüne gittim ve işlemi yapan, adını hatırlayamadığım ama soy ismi 'Şan' olan Türk Telekom çalışanı, defalarca söylememe ve","...","#Magnet"
"Türk Telekom Nakil İşleminde Yaşanan Gecikme Ve İletişim Sorunu","02 Ağustos 14:25","106","Türk Telekom nakil işlemi için verdikleri aralıkta gelmediler. 3 gün önce nakil işlemi için başvurdum, 08.30-13.30 aralığına randevu verdiler ve 13.30'a kadar boşuna bekledim. Müşteri hizmetleri düzgün çalışmıyor. Asla ulaşamıyorsunuz. Ulaştığınızda da yanıt alamıyorsunuz. Şikayet oluşturdum zar zor","...",""
"Türk Telekom Evde İnternet Hizmeti Sıfır, Mağdur Ediyorlar İnsanları","02 Ağustos 14:25","665","Türk Telekom evde İnternet hizmeti mahvetti bizi. En son 30 GB İnterneti 50 yapalım İnternet hızınız hiç kesilmesin diye büyük sözler vererek aradılar şu an İnternet o kadar kötü ki normal İnternet sitesine bile giremiyorum ya, kendi sitelerinde hız testini yapana kadar saatler geçti. Resimleri ekle","...","#İnternet"
"Türk Telekom Müşterileri Yanıltıyor Mu?","02 Ağustos 14:25","83","Türk Telekom Instagram paketi satın aldım veya ben aldığımı düşündüm çünkü internetim bitip üstüne ekstra 200 TL faturalandırma yapılınca müşteri hizmetleriyle görüştüm ve bana şu cevabı verdiler; 'Reels videoları pakete dahil değil.' bu ne saçmalıktır? Paketi satın aldığım kanal online uygulama ve","...","#Mobil Ödeme"
"Türk Telekom Bilgilendirme Araması Altında Uygunsuz Satış Yapılmalı","02 Ağustos 14:16","312","27.07.2024 tarihinde Türk Telekom aboneliğimi başlattım. Bundan 4 gün sonra, 01.08.2024 saat 17:35'te Türk Telekom'a ait olan 4440375 numaralı numaradan arandım. Yapılan aramanın rutin bilgilendirme araması olduğu söylendi. Telefonda çok hızlı bilgiler verilip, tarife değişikliğini istemediğim halde","...","#Bana Özel Paketler"
