"complaint-layer","username","js-tooltip","js-view-count","complaint-description","ellipsis-text","sv-model-button"
"Vodafone Tarife Zammı Ve Müşteri Temsilcisi İlgisizliği","Mehmet","27 Temmuz 00:48","207","Yıllardır Vodafone müşterisiyim. Tarifenin bitmesine iki ay kala herhangi bir bilgilendirme yapılmadan faturama %100 zam yapılmış. Müşteri temsilcisini arayıp beni bu konuda bilgilendirmesini rica ettim fakat karşılaştığım diyalogla şok içerisindeyim. Bana denildi ki: 'Tabii ki artacak, şu an ekmek","...","#Fatura"
"Vodafone Fahiş Tutardaki Fatura Sorunu","Özge","27 Temmuz 00:42","164","Yaklaşık 5-6 senedir kullanmakta olduğum Vodafone hattımın taahhüdü yeni yılda bitmişti. Tekrardan yenilemedim. 300 küsur fatura gelirken bu ay 900 küsur bir fatura yansıtılmış. Bir ayda nasıl bu kadar zam gelmiş oluyor ki? Bir anda fiyatlar uçuyor. Zaten internet kalitesi falan çok kötü, boşuna par","...","#Fatura"
"Vodafone Çark Hay Aksi","Süleyman","27 Temmuz 00:28","235","1 haftadır hediye çarkı çeviremiyorum hay aksi diyor bunun çözülmesini istiyorum sildim yeniden yükledim güncelledim 3 yıldır Vodafone kullanıyorum ilk kez yaşadım çözülmesini istiyorum... Sildim olmadı yükledim olmadı düzeltin çarkı güncelledim olmadı","","#Hediye Çarkı"
"Vodafone Fatura Ve Hat Kullanım Sorunu","Hülya","27 Temmuz 00:21","119","Vodafone, 6 Temmuz'dan beri oluşturulan sorunu çözmedi. Çözmediği gibi hattıma bir fatura daha çıkardı. Yasal olarak hattımın faturası ödenmiş olmasına rağmen hattımın kullanıma açılmaması ve açıldıktan sonra kullanamadığım hattın kapalı olmasına rağmen ödenen faturaları iade etmemesi sorunumun acil","...","#Fatura"
"Vodafone Hak Edilmemiş Parayı Faturaya Yansıtıyor.","Muhammed","27 Temmuz 00:14","167","Yurt dışında hattı kullanmadığımız halde Vodafone faturaya bir şeyler yansıtmış. Hiçbir şekilde kullanmadığımız halde 2021,20 TL fatura gelmiş. Haksız kazanç elde etmek için ellerinden geleni yapıyorlar. Lütfen o hak edilmemiş ödemeyi iade edin. İade edilmemesi durumunda Tüketici Hakları'na başvuru","...","#Fatura"
"Vodafone Yanlış GB Hesaplama","Mustafa","27 Temmuz 00:12","185","Vodafone mobil hat kullanıcısıyım. Kontrol ettiğim zaman internet paketim çok fazla azalmış. O kadar çok azalmaması gerekiyor. Zaten 10 GB hediyeyi bile bitirememiştim. Müşteri hizmetlerini arıyorum, bir türlü bağlanamadım. Gerekli incelemelerin yapılıp hatanın düzeltilmesini talep ediyorum. Zaten 3","...","#Aşım Ücreti"
"Vodafone Üyelik Ücreti Faturama Yansıdı","Sevgi","27 Temmuz 00:12","129","Vodafone faturama ek ücret eklemiş mobil üyelik adı altında fakat ben bir üyelik almadım. Üyelik ücreti hakkında bir bilgilendirme mesajı da almadım.","...","#Fatura"
"Vodafone Pişmanlıktır Rezil Olmaktır Paranla Rezil Olmaktır","Nazım","26 Temmuz 23:37","116","","","#Red"
"Vodafone İnternet Hemen Bitiyor!","Merve","26 Temmuz 23:37","37","7 GB internet aldım, iki günde yüzde seksen kullandınız mesajı geldi. Önceden de aynısı oldu. Nasıl hızlı bitiyor? Lütfen yönetici açıklasın herkese, çok şikayet var.","","#Mobil İnternet"
"Vodafone Çekim Kalitesi Sorunu","Serdar","26 Temmuz 23:29","189","Hattımı Vodafone'ye taşıdım. Ama pişman oldum. Bulunduğum bölgeye yakın baz istasyonu olmasına rağmen çekim kalitesi vasat. Müşteri hizmetlerine ulaşmaya çalışıyorum ulaşamıyorum dakikalarca hatta bekliyorum buna rağmen muhatap sadece tobi. Bölgenizde sıkıntı yok diyorlar. Eşimin hattını da Vodafone","...","#Şebeke"
"Vodafone Yeni Tarife Teklifi Neden Hep Eski Tarifenin İki Katı?","Gözde","26 Temmuz 23:29","49","Merhaba, Vodafone tarifemin suresi dolmak üzere, Her tarife bitiminde aynı sorun... Önerdiğiniz teklifler benim için pahalı üstelik, şimdiki kullandığ","...","#Tarife Değişikliği"
"Vodafone 1 Saattir Bekletme De Yapmazsın","Ferhat","26 Temmuz 23:29","19","Faturalı hattımı faturasız hatta çevirmek için müşteri hizmetlerini aradım. Resmen 1 saattir bağlanmıyor. Hani anlarım, 10-15 dakika sıra var derim ama 1 saattir de bekletmezsiniz. Cidden bunu bilerekten yapıyorsunuz. Bana değil, herkese aynı şekilde yaptığınıza eminim.","","#Faturalı Tarifeler"
"Vodafone Müşteri Hizmetleri Ulaşamamak!","Yasin","26 Temmuz 23:22","10","","","#Fatura"
"Vodafone 9 Yıllık Müşterisinin İlk Gecikmesinde Hattını Kısıtlaması.","İpek","26 Temmuz 23:21","45","Vodafone firması 9 yıllık müşterisinin faturasında hiç gecikme yapmamasına rağmen ilk gecikmede hattını kısıtlaması. Yazıklar olsun 10 günlük gecikmede hat kısıtlaması yapmak bu devirde çok basit bir hareket. Kullandığım firmayı değiştireceğim. İnternetinizde hattınızda çok kötü zaten.","","#Fatura"
"Vodafone'dan Aşırı Fiyat Pahalılığı","Fermide","26 Temmuz 23:15","97","Vodafone operatörü olarak red'li fırsat 20gb paketi kullanmaktaydım. Vergiler dahil 166 TL ödemekteydim. Bu paketimin taahhüdü bitmiş. Hastane çalışanıyım ve çok yoğun çalışmaktayım Vodafone tarafından arandım mı bilmiyorum. Taahhüdümün yenilenmesi için geçebileceğim tarifelere baktığımda kullanmış","...","#Fatura"
"Vodafone Ek Paketlerim Yenilenmedi","Kader","26 Temmuz 23:14","48","Vodafone'dan şikayetçiyim. Dün akşam TL yükledim tarifem anında oldu. Aktif ek paketlerim 24 saatten fazla geçmesine rağmen hala olmadı. Sabah müşteri hizmetlerini aradım, bana hala 24 saat içinde olur diyorlar. Ek paketimden biri olan sınırsız video hala yapılmadığı için tarifemin internetini kulla","...","#Ek Paketler"
"Vodafone Fahiş Fatura Paket Aşımı Adı Altında Gelen Fahiş Faturalar","Erdal","26 Temmuz 23:14","127","Çocuklar için kullandığım kontörlü hattı müşteri hizmetlerinin ısrarlı tavsiyesi ile faturalıya çevirdim. 93 TL olan tarife bir yıl boyunca 300/500 ve en son 1550 TL olarak karşımıza çıktı. 1550 TL olan fatura içinde aylık tekrar etmeyen internet paketi almama rağmen internet aşım bedeli olarak 880","...","#Fatura"
"Vodafone Müşteri Temsilcisi Yalan Söyleyerek Tarife Kabul Ettiriyor","Furkan","26 Temmuz 23:14","383","Vodafone operatörü kullanıyorum, taahhüdüm dolmak üzereydi, faturam 260 TL geliyordu. Vodafone beni arayıp taahhüdünüz bitiyor, 1 + 1 yıllık sözleşmen","...","#Faturalı Tarifeler"
"Vodafone Aylık Ücret Saçmalığı","Ali","26 Temmuz 23:08","85","Vodafone aylık faturam taahhütsüz 135 TL iken 540 TL'ye çıkıyor. Bir de internet koruma paketi diye var mı bir ücret 80 TL hop fatura 640 TL. Ne haber veren var ne arayan. Müşteri hizmetleri bizim yazacağımız bir şey yok. Bunlara dur diyecek bir güç yok mu? Böyle bir zam olur mu?","","#Fatura"
"Vodafone Müşterisini Çok Üzüyor","Soner","26 Temmuz 22:58","134","Vodafone telefon kullanım ücretleri çok pahalı. GSM olarak çok yüksek fiyat teklif ediyorlar. Yani paketleri çok yüksek, tarife çok yüksek. 60 TL'ye k","...","#Faturalı Tarifeler"
"Vodafone Vefat Nedeniyle Hat Kapama","Murat","26 Temmuz 22:58","121","","","#Cayma Bedeli"
"Vodafone Faturalı Hat Taahhüt Sorunu","Gül","26 Temmuz 22:49","29","Vodafone faturalı hat kullanıcısıyım taahhüt bitimi 2. Dönem kampanyası kapsamında tarifemin 41 TL fark ile yenileneceği belirtildi bende kabul ettim. Ama Vodafone 140 TL olan tarifemi 288 TL olarak yeniledi. Uzman temsilci ile görüştüğümü bana tarifemin 41 TL fark ile yenileneceğini söylediğini bel","...","#Taahhüt"
"Vodafone Tarife Haksızlığı Taahhüt Oyunu","Yunus","26 Temmuz 22:49","104","","","#Taahhüt"
"Vodafone 500 TL A101 Çeki","Bahar","26 Temmuz 22:49","242","Merhabalar, ben 26/07/2024 tarihinde geçtiğim faturalı teklifte, faturalıya geçmemde 500 TL değerinde A101 hediye çeki verileceği belirtiliyordu. Fakat faturalıya geçtikten sonra herhangi bir bilgi mesajı ya da Yanımda uygulamasında buna dair herhangi bir bilgi bulamıyorum. Lütfen en kısa sürede yar","...","#Yanımda"
"Vodafone Habersiz Taraftar Paket Üyeliği Yapıyor","Merve","26 Temmuz 22:41","122","Anneannem 80 yaşında. Sadece aradığımız zaman ulaşalım diye bir telefonu var. Hattına taraftar paket üyeliği tanımlanmış ve iki ay faturasına 120 TL ek ücret yansımış. Telefonu internete kapalı. Vodafone yanımda uygulaması yüklü değil. Bu durumda bu pakete üyeliği kendisi yapamaz. Genel merkez ise t","...","#Yanımda"
"Vodafone Ricada Bulunuyorum Lütfen Bir Care Bulsunlar","Abdulkadir","26 Temmuz 22:41","93","+44 bahis mesajlarından bıktım, artık peşimi bırakmıyorlar. Bunların engellenecek yolu yok mu? Vodafone hattımı kapatacağım artık. Yetkililer bu işe el atsınlar. Günümde en az 30 tane bahis mesajı alıyorum, +44 37 ile başlayan numaralardan geliyor. Lütfen bu sorunumu çözün.","","#SMS"
"Vodafone Yıllık Paketimin 4. Ayında Usulsüzce Zam Yaptı.!","Atakan","26 Temmuz 22:41","54","Vodafone paket taahhüdümün 1 yıl geçerli olmasına rağmen 4. Ayda faturama zam yapıldı. 160 TL + 14 TL vergiyle 174 TL öderken bir anda 274 TL oldu. Bu teklif bana 21 Mart 2024 te müşteri temsilcisi tarafından 12 ay boyunca 18 GB 174 olarak yapılmıştı. Ancak ortada hiçbir sebep yokken faturama zam ya","...","#Borç"
"Vodafone Gerçekten Bir Pişmanlık!","Burhan","26 Temmuz 22:40","136","","","#Fatura"
"Vodafone FreeZone Başvuru Hatası","Ali","26 Temmuz 22:40","25","17 yaşındayım ve Vodafone FreeZone başvurusu yapmak istiyorum. FreeZone için başvuru yapıyorum, her şeyi doğru yazdığım halde 'beklenmedik bir hata ol","...","#FreeZone"
"Vodafone Sorumsuzluğu Sizin Müşteriniz Olmaktan Çok Pişmanım","Kübra","26 Temmuz 22:40","58","Vodafone kafasına göre taahhüt yapıyor sanırım. Benim bilgim olmadan 180 liralık tarifemi 780 TL'ye yükseltmişler. Ben çalışmıyorum, benim bunu ödememi nasıl bekliyorlar acaba? İnsanları zor duruma sokmaktan zevk alıyorsunuz sanırım. İnsan bir haber verir, izin alır.","","#Taahhüt"
"","Halit","26 Temmuz 23:51","-","","",""
"Vodafone Mağduriyeti, Çok Mağdur Oldum!","Mücahit","26 Temmuz 22:20","31","","","#Hat Başvurusu"
"Vodafone Yurt Dışı Bağlantı Problemi","Şengül","26 Temmuz 21:51","91","Vodafone Yurt dışı bağlantı problemi yaşıyorum, hattım ve telefonum uluslararası dolaşıma açık. Yurt dışı kullanımı için ek paket satın aldım fakat hiçbir şekilde hizmet alamadım. Müşteri hizmetlerini aradığımda reset atılırsa sorunun çözüleceği söylendi. Ancak sorunum çözülmedi, bulunduğum bölgeni","...","#Yurt Dışı Paketleri"
"","Yusuf","26 Temmuz 21:45","238","","",""
"Vodafone Yanımda Premium'da Ekstra Yansıtılan Ücret","Yiğit","26 Temmuz 21:37","193","Vodafone Premium üyelik satışında ekstra 44,9 TL'lik mobil ödeme ücreti gecikmesi yansıtmakta. Müşteri temsilcisiyle konuştuğumda mobil ödeme 3 aylık ücreti olduğunu belirtti. Fakat Vodafone Yanımda uygulamasında belirttiği üzere Vodafone Premium 29,9 TL'lik aylık ücretine ek olarak mobil ödeme ücre","...","#Mobil Ödeme"
"Vodafone Faturalıya Geçişte A101 Çeki Problemi","Dilara","26 Temmuz 21:31","498","Merhabalar, ben 26/07/2024 tarihinde geçtiğim faturalı teklifte, faturalıya geçmemde 500 TL değerinde A101 hediye çeki verileceği belirtiliyordu. Fakat faturalıya geçtikten sonra herhangi bir bilgi mesajı ya da Yanımda uygulamasında buna dair herhangi bir bilgi bulamıyorum. Lütfen en kısa sürede yar","...","#Yanımda"
"Vodafone Hattımı İptal Edeceğim","Mehmet","26 Temmuz 21:30","249","Kaç yıllık Vodafone müşterisiyim ancak taahhüdüm bitti buna rağmen Vodafone bana uygun bir tarife sunmuyor! Hattımı en yakın zamanda farklı bir operatöre taşıyacağımı belirtmek isterim. Kimseye de bu hattı önermeyeceğim.","","#Faturalı Tarifeler"
"Vodafone Faturalı Geçmek İstiyorum","Muhammed","26 Temmuz 21:30","61","Faturalı hatta geçmek istiyorum ama Vodafone bana tarife sunmuyor çözülmesini istiyorum ve en kısa sürede bana ulaşılmasını talep ediyorum. Ve 250 TL civarı olması benim için uygundur beni ararlarsa daha iyi olur ve bu sorun hat bende. Olduğunda ln beri böyle bir turlu düzelmedi. Lütfen en kısa süre","...","#Faturalı Tarifeler"
"Vodafone Peyo Aboneliği İptali Olmuyor!","Keke","26 Temmuz 21:15","47","''Tebrikler! Peyo aboneliği için ücretlendirmeniz başarıyla gerçekleştirildi. Aylık vergiler dahil 239.0 TL mobil ödeme ile faturanıza yansıtılmış ya da bakiyenizden düşülmüştür. Elektronik ortamda anında gerçekleşen hizmetler kapsamında iptal edilen dönemin ücret iadesi yapılmaz. Vodafone Mobil öde","...","#İçerik Servisleri"
"Kolay Paket Vodafone Mağduriyeti!","Medine","26 Temmuz 21:08","42","Haftalık sınırsız TikTok paketini 24.07.2024 tarihinde 110 TL karşılığında satın aldım ancak 31.07.2024 tarihinde sonlanacak olmasına rağmen kesinlikle kullanmadım. Müşteri hizmetlerinden Y**** hanim bir çözüm bulmadı para iadesi veya mağduriyetimizin giderilmesi için ilgilenilmedi. Öğrenci parası y","...","#Kolay Paket"
"Vodafone Cayma Bedeli Oyunu","Zafer","26 Temmuz 21:08","110","","","#Cayma Bedeli"
"Vodafone Bir Hafta İçinde 2 Adet Fatura Çıkartıyor","Ali","26 Temmuz 21:08","26","Vodafone adıma 1 hafta içinde 2 adet fatura çıkarttı. Haziran'da faturasıza geçmiştim, Temmuz'un 22'sinde faturamı ödedim. 1 hafta faturalıda kullandığım için 150 TL gibi bir telsiz kullanım ücreti ve 74 TL'de normal tarifeden kullanmış olarak gösteriyor. Ben neden 150 TL gibi bir telsiz kullanım üc","...","#Fatura"
"Vodafone Müşteri Hizmetlerine Ulaşamıyorum","Aylin","26 Temmuz 20:54","82","Vodafone müşteri hizmetlerine ulaşamıyorum. Bilgisayarı aşamıyorum. Yurt dışında iken mobil verimi kapattım. Gelen çağrıyı yanlışlıkla açtım, mesaj geldi. Günlük 300 TL'lik paket başlattık diye. Sorunumu çözemiyorum. Müşteri hizmetlerinde bilgisayarı aşamıyorum.","","#SMS"
"Vodafone'dan Hiçbir Şekilde Hizmet Alamıyorum","Şahin","26 Temmuz 20:46","68","18 Temmuz Perşembe günü Vodafone kurumsal hat başvurusu yaptım. Ertesi günü hattın geleceğini söylediler. Herhangi bir iletişim kurulmadı, gelmedi. Daha sonra aradığımda bu sefer Salıya randevu verildi. Salı günü de gelmedi. En son bugün (26 Temmuz, Cuma) en geç 18:30 a kadar teslim edileceği söylen","...","#Hat Başvurusu"
"Vodafone Nin Sürekli Zam Yapması Bilgi Vermeden","Rahim","26 Temmuz 20:46","47","2024 Mart ayında 338 lira olan faturam zamlanarak 2024 nisan ayında 484 lira aradan iki ay geçmeden tekrar zamlanarak 2024 temmuz ayında 1074 lira olm","...","#Fatura"
"Vodafone Ek Kart Talebi","Kemal","26 Temmuz 20:46","16","Merhaba, Vodafone hattımı kaybettim. Yedek hat çıkarmak için bayiye gittim. Kartım kurumsal olduğu için işlemi gerçekleştiremeyeceklerini belirttiler. Hattım olmadığı halde ücretini ödemekteyim ve ben Malatya'dayım. En yakın kurumsal şube Diyarbakır'da olduğunu, oraya gitmemi söylediler. Ben mağdur","...","#Faturalı Tarifeler"
"Vodafone Eğlence-2 Uygulamasına Bilgim Dışında Abonelik Yapılmış","Nimet","26 Temmuz 20:46","219","Merhaba yıllardır Vodafone hattımı kullanıyorum. Bugün 617 TL fatura geleceğini görünce çok şaşırdım. Müşteri hizmetlerini aradım eğlence -2 isminde b","...","#Fatura"
"Vodafone'a Fatura Şikayeti","Naciye","26 Temmuz 20:39","13","Faturam 230 TL iken birden 630 TL'ye yükseldi tarife bitmiş ve bana bildirim olarak bugün mesaj geldi faturam ve tarifemin biteceğini önceden bildirim olarak almadım. Yüksek gelen faturam için Vodafone'dan şikayetçiyim Bu konuda mağduriyetimin giderilmesini istiyorum.","","#Fatura"
"Vodafone Her Şey Dahil Pasaport","Beril","26 Temmuz 20:32","69","Sevgilim KKTC'ne askerlik yapmaya gitti ve bilgisi olmadan Vodafone tarafından hattına Vodafone Her Şey Dahil Pasaport paketi tanımlanmış. Şu an faturası 560lira neye dayanarak bu paket yapıldı acaba? Oradayken müşteri hizmetlerini aramış ve uygun paket olup olmadığını sormuş, fiyatlar yüksek gelinc","...","#Yurt Dışı Paketleri"
"Vodafone Haksız Kazanç Fahiş Fiyat","Ömer","26 Temmuz 20:31","66","Tarifem taahhüt süresi 6 ay dolduğunda taahhüt süresi bitmiştir diyerek fatura bedelinin 3 katından fazla bir fiyat talep edilmekte. 1 yıl dolmadan süre nasıl bitebiliyor? Diğer bir husus, süre bitmesine yakın zaten bildirim geliyor ve müşteri temsilcileri arayarak bilgilendirme yapıyorlar. Mecburen","...","#Fatura"
"İstanbul Kart İle Vodafone Kolay Paket Yüklenmiyor!","Oğuzhan","26 Temmuz 20:25","149","İstanbulkart ile Vodafone kolay paket yükleme sorunu yaşıyorum 2 gündür uğraşıyorum bir çözüm sunamıyorlar. NFC ile diğer işlemleri rahatlıkla yaparken yanımda uygulaması hiçbir ise yaramıyor. Defalarca müşteri hizmetlerini aradım fakat sorunum çözülmedi. Müşteri memnuniyetinin sağlanmasını istiyoru","...","#Kolay Paket"
"Vodafone 500 TL Hediye Kodunun Çalışmaması","Kağan","26 Temmuz 20:24","137","Vodafone tarafından bana gönderilen kod, A101 marketleri kasasında geçerli değil. Sebebi ise bana gelen kodun hepsi harflerden oluşurken, A101 marketinde yazılacak olan kodun sayılar ile olması gerektiğini öğrendim. Bu konuda Vodafone'u çözüm bulmaya davet ediyorum.","","#Hediye Çarkı"
"Vodafone Güvenli Depo Şifre","Ömür","26 Temmuz 20:24","701","Vodafone Güvenli depo şifremi unuttum ve 'şifremi unuttum' butonu müşteri temsilcisine bağlanmamı söylüyor. Ancak müşteri temsilcisi de konu hakkında bilgisi olmadığı için sorunum bir türlü çözülemiyor. 2 gündür uğraşıyorum ne yardımcı olan var ne de yardım etmek isteyen böyle bir saçma sistem yok,","...","#Güvenli Depo"
"Vodafone Pişmanlıktır Tarifeden Kullanım Haklarımı Resmen Elimden Aldı","Şükrü","26 Temmuz 20:23","604","0555********95 numaralı telefonun sahibiyim. Müşteri temsilcisi ile yaklaşık 10 adet görüşme yaptım. Yanımda uygulamasına doğrulama kodu gönderimi bir türlü gerçekleşmedi. Ayrıca faturalı tarifeye geçiş yapmıştım, bunu telefonun bağlantı problemlerinden dolayı tekrar faturasız tarifeye geçiş istedim","...","#Yanımda"
